"STATE","RELIG","POPWGHT"
"MA","14",0.192703703703704
"MA","17",4.39348148148148
"MA","18",0.164851851851852
"MA","19",0.195740740740741
"MA","20",0.463296296296297
"MA","21",0.045925925925926
"MA","22",0.013962962962963
"MA","23",0.185925925925926
"MA","24",0.081925925925926
"MA","30",0.532888888888889
"MA","31",0.081
"MA","33",0.018962962962963
"MA","35",0.061962962962963
"MA","36",0.648777777777778
"MA","39",0.123888888888889
"MA","40",0.048962962962963
"MA","60",1.20781481481482
"MA","61",0.071925925925926
"MA","62",0.401740740740741
"MA","63",0.316592592592593
"MA","64",0.048962962962963
"MA","66",0.013962962962963
"MA","68",0.041
"MA","70",0.065962962962963
"MA","73",0.034925925925926
"MA","78",0.063888888888889
"MA","79",0.373777777777778
"MA","90",0.309777777777778
"MA","91",0.582666666666667
"MA","95",9.88888888888889
"MA","98",0.626592592592593
"MA","99",2.78814814814815
"MD","1",13.1098518518519
"MD","2",4.8692962962963
"MD","3",0.164851851851852
"MD","5",0.013962962962963
"MD","6",0.036962962962963
"MD","7",0.032962962962963
"MD","8",2.16477777777778
"MD","9",1.92922222222222
"MD","10",0.216888888888889
"MD","11",0.101925925925926
"MD","12",0.566370370370371
"MD","13",0.010962962962963
"MD","14",1.07581481481482
"MD","15",0.112962962962963
"MD","17",8.57192592592593
"MD","18",0.408370370370371
"MD","19",0.726481481481482
"MD","20",0.620148148148149
"MD","21",0.086925925925926
"MD","22",0.027962962962963
"MD","23",0.324777777777778
"MD","24",0.57562962962963
"MD","25",0.044962962962963
"MD","26",0.057962962962963
"MD","28",0.022962962962963
"MD","29",0.373
"MD","30",0.115888888888889
"MD","31",0.077925925925926
"MD","32",0.036962962962963
"MD","33",0.035
"MD","34",0.086925925925926
"MD","36",0.747592592592593
"MD","37",0.051962962962963
"MD","39",0.175851851851852
"MD","40",0.047925925925926
"MD","60",1.24848148148148
"MD","61",0.630777777777778
"MD","62",0.259814814814815
"MD","63",0.22462962962963
"MD","64",0.162851851851852
"MD","75",0.119962962962963
"MD","78",0.135925925925926
"MD","79",0.238814814814815
"MD","90",0.118777777777778
"MD","91",0.371703703703704
"MD","92",0.00996296296296296
"MD","95",6.03677777777778
"MD","98",0.312703703703704
"MD","99",2.00696296296297
"ME","1",3.0502962962963
"ME","2",2.12977777777778
"ME","3",0.058962962962963
"ME","8",1.81337037037037
"ME","9",0.340518518518519
"ME","12",0.030925925925926
"ME","14",0.076888888888889
"ME","17",1.77359259259259
"ME","18",0.0968148148148149
"ME","19",0.147888888888889
"ME","20",0.184703703703704
"ME","21",0.088925925925926
"ME","22",0.00796296296296296
"ME","23",0.093962962962963
"ME","27",0.053925925925926
"ME","30",0.0159259259259259
